title,imdb,year,decade code,binary,code,clean_test,average_sentiment,budget,domgross
The Smurfs 2,tt2017020,2013,1.0,PASS,2013PASS,ok,0.6991360000000002,110000000,71017784.0
The To Do List,tt1758795,2013,1.0,PASS,2013PASS,ok,0.7221319999999999,1500000,3491669.0
The Way Way Back,tt1727388,2013,1.0,PASS,2013PASS,ok,0.8366959999999999,5000000,21502690.0
The Wolf of Wall Street,tt0993846,2013,1.0,FAIL,2013FAIL,notalk,0.8824080000000001,100000000,115702857.0
The Wolverine,tt1430132,2013,1.0,PASS,2013PASS,ok,0.6543399999999999,115000000,132556852.0
The World&#39;s End,tt1213663,2013,1.0,FAIL,2013FAIL,men,0.7058240000000001,20000000,26004851.0
This Is the End,tt1245492,2013,1.0,FAIL,2013FAIL,notalk,0.6698199999999999,32000000,101470202.0
Thor: The Dark World,tt1981115,2013,1.0,FAIL,2013FAIL,dubious,0.4692920000000001,170000000,204674790.0
Trance,tt1924429,2013,1.0,FAIL,2013FAIL,nowomen,0.8106560000000002,16000000,2322593.0
Turbo,tt1860353,2013,1.0,FAIL,2013FAIL,dubious,0.8264,135000000,83028130.0
Warm Bodies,tt1588173,2013,1.0,FAIL,2013FAIL,men,0.9648759999999998,30000000,66380662.0
We&#39;re the Millers,tt1723121,2013,1.0,PASS,2013PASS,ok,0.8502359999999999,37000000,150394119.0
White House Down,tt2334879,2013,1.0,FAIL,2013FAIL,men,-0.13939199999999993,150000000,73103784.0
World War Z,tt0816711,2013,1.0,FAIL,2013FAIL,dubious,0.3069680000000001,190000000,202359711.0
Abraham Lincoln: Vampire Hunter,tt1611224,2012,1.0,FAIL,2012FAIL,dubious,0.28772,67500000,37519139.0
Act of Valor,tt1591479,2012,1.0,FAIL,2012FAIL,nowomen,0.23391600000000004,12000000,70012847.0
Amour,tt1602620,2012,1.0,FAIL,2012FAIL,dubious,0.4958920000000001,9700000,6738954.0
Anna Karenina,tt1781769,2012,1.0,FAIL,2012FAIL,men,0.861708,49000000,12816367.0
Argo,tt1024648,2012,1.0,PASS,2012PASS,ok,0.8632680000000001,44500000,136025503.0
Battleship,tt1440129,2012,1.0,FAIL,2012FAIL,notalk,0.4140360000000001,209000000,65235400.0
Beasts of the Southern Wild,tt2125435,2012,1.0,FAIL,2012FAIL,dubious,0.4813960000000001,1800000,12795746.0
Blue Like Jazz,tt1758575,2012,1.0,PASS,2012PASS,ok,0.748388,1200000,595018.0
Brave,tt1217209,2012,1.0,PASS,2012PASS,ok,0.826832,185000000,237282182.0
Bullet to the Head,tt1308729,2012,1.0,FAIL,2012FAIL,nowomen,0.18742,55000000,9489829.0
Chernobyl Diaries,tt1991245,2012,1.0,FAIL,2012FAIL,notalk,-0.3448760000000001,1000000,18119640.0
Chronicle,tt1706593,2012,1.0,FAIL,2012FAIL,notalk,0.394548,12000000,64575175.0
Cloud Atlas,tt1371111,2012,1.0,PASS,2012PASS,ok,0.5905840000000001,102000000,27108272.0
Contraband,tt1524137,2012,1.0,PASS,2012PASS,ok,0.6159880000000001,25000000,66528000.0
Django Unchained,tt1853728,2012,1.0,FAIL,2012FAIL,notalk,0.7088920000000001,100000000,162805434.0
Flight,tt1907668,2012,1.0,FAIL,2012FAIL,dubious,0.6615880000000001,31000000,93772375.0
Frankenweenie,tt1142977,2012,1.0,FAIL,2012FAIL,nowomen,0.7073280000000001,39000000,35287788.0
Hannibal,tt2243973,2012,1.0,PASS,2012PASS,ok,0.3518319999999999,87000000,165092266.0
Hotel Transylvania,tt0837562,2012,1.0,PASS,2012PASS,ok,0.7859159999999998,85000000,148313048.0
Jack Reacher,tt0790724,2012,1.0,FAIL,2012FAIL,notalk,0.6022839999999998,60000000,80070736.0
Jagten,tt2106476,2012,1.0,FAIL,2012FAIL,men,-0.114984,3450000,687185.0
John Carter,tt0401729,2012,1.0,PASS,2012PASS,ok,0.7868239999999999,275000000,73058679.0
Killing Them Softly,tt1764234,2012,1.0,FAIL,2012FAIL,nowomen,0.133524,15000000,14945541.0
Les Miserables,tt1707386,2012,1.0,PASS,2012PASS,ok,0.6384719999999998,65000000,148809770.0
Life of Pi,tt0454876,2012,1.0,FAIL,2012FAIL,notalk,0.8820160000000001,120000000,124987022.0
Lincoln,tt0443272,2012,1.0,PASS,2012PASS,ok,0.7398039999999999,65000000,182207973.0
Madagascar 3: Europe&#39;s Most Wanted,tt1277953,2012,1.0,FAIL,2012FAIL,men,0.8209280000000001,145000000,216391482.0
Men in Black III,tt1409024,2012,1.0,FAIL,2012FAIL,notalk,0.8046199999999999,215000000,179020854.0
Mirror Mirror,tt1667353,2012,1.0,FAIL,2012FAIL,dubious,0.671704,85000000,64935167.0
Moonrise Kingdom,tt1748122,2012,1.0,PASS,2012PASS,ok,0.859244,16000000,45512466.0
Much Ado About Nothing,tt2094064,2012,1.0,FAIL,2012FAIL,dubious,0.902752,8000000,22549338.0
One for the Money,tt1598828,2012,1.0,PASS,2012PASS,ok,0.7929359999999999,42000000,26414527.0
Paranormal Activity 4,tt2109184,2012,1.0,PASS,2012PASS,ok,0.03397199999999998,5000000,53900335.0
ParaNorman,tt1623288,2012,1.0,FAIL,2012FAIL,notalk,0.6524160000000001,60000000,56003051.0
Parental Guidance,tt1047540,2012,1.0,PASS,2012PASS,ok,0.682816,25000000,77267296.0
People Like Us,tt1716777,2012,1.0,PASS,2012PASS,ok,0.883232,16000000,12431792.0
Pitch Perfect,tt1981677,2012,1.0,PASS,2012PASS,ok,0.8336839999999998,17000000,65001093.0
Premium Rush,tt1547234,2012,1.0,PASS,2012PASS,ok,0.6164759999999999,35000000,20275446.0
Red Dawn,tt1234719,2012,1.0,FAIL,2012FAIL,notalk,-0.08139999999999999,65000000,44806783.0
Red Tails,tt0485985,2012,1.0,FAIL,2012FAIL,men,0.16440399999999994,58000000,49876377.0
Rise of the Guardians,tt1446192,2012,1.0,FAIL,2012FAIL,notalk,0.909156,145000000,103412758.0
Rock of Ages,tt1336608,2012,1.0,PASS,2012PASS,ok,0.6770959999999999,70000000,38518613.0
Safe,tt1656190,2012,1.0,FAIL,2012FAIL,notalk,0.472868,33000000,17142080.0
Safety Not Guaranteed,tt1862079,2012,1.0,PASS,2012PASS,ok,0.718916,750000,4010957.0
Seven Psychopaths,tt1931533,2012,1.0,FAIL,2012FAIL,notalk,0.7697360000000001,13500000,15024049.0
Silent Hill: Revelation 3D,tt0938330,2012,1.0,PASS,2012PASS,ok,0.30318,20000000,17530219.0
Silver Linings Playbook,tt1045658,2012,1.0,PASS,2012PASS,ok,0.511824,21000000,132092958.0
Sinister,tt1922777,2012,1.0,FAIL,2012FAIL,men,-0.143252,3000000,48086903.0
Skyfall,tt1074638,2012,1.0,FAIL,2012FAIL,dubious,0.5943079999999998,200000000,304360277.0
Snow White and the Huntsman,tt1735898,2012,1.0,PASS,2012PASS,ok,0.51682,170000000,155136755.0
Sparkle,tt1876451,2012,1.0,PASS,2012PASS,ok,0.7204920000000001,10000000,24397469.0
Spring Breakers,tt2101441,2012,1.0,PASS,2012PASS,ok,0.120652,5000000,14124286.0
Step Up Revolution,tt1800741,2012,1.0,PASS,2012PASS,ok,0.7539879999999998,33000000,35074677.0
Supporting Characters,tt1874789,2012,1.0,FAIL,2012FAIL,men,0.4468,60000,4917.0
Ted,tt1637725,2012,1.0,FAIL,2012FAIL,men,0.960764,50000000,218665740.0
That&#39;s My Boy,tt1232200,2012,1.0,FAIL,2012FAIL,notalk,0.48620399999999997,67500000,36931089.0
The Amazing Spider-Man,tt0948470,2012,1.0,FAIL,2012FAIL,men,0.9749400000000004,220000000,262030663.0
The Avengers,tt0848228,2012,1.0,FAIL,2012FAIL,notalk,0.7716240000000001,60000000,23385416.0
The Dark Knight Rises,tt1345836,2012,1.0,FAIL,2012FAIL,notalk,0.7644480000000001,275000000,448139099.0
The Devil Inside,tt1560985,2012,1.0,PASS,2012PASS,ok,-0.197128,1000000,53261944.0
The Dictator,tt1645170,2012,1.0,FAIL,2012FAIL,notalk,0.774904,65000000,59650222.0
The Expendables 2,tt1764651,2012,1.0,PASS,2012PASS,ok,0.574956,100000000,85028192.0
The Grey,tt1601913,2012,1.0,FAIL,2012FAIL,nowomen,-0.07623999999999999,25000000,51580136.0
The Hobbit: An Unexpected Journey,tt0903624,2012,1.0,FAIL,2012FAIL,nowomen,0.8415720000000002,250000000,303003568.0
The Hunger Games,tt1392170,2012,1.0,PASS,2012PASS,ok,0.4643480000000001,80000000,408010692.0
The Impossible,tt1649419,2012,1.0,FAIL,2012FAIL,men,0.30588000000000004,40000000,19019882.0
The Man with the Iron Fists,tt1258972,2012,1.0,FAIL,2012FAIL,notalk,0.142316,15000000,15634090.0
